identifier,X,Y,rmse,mae,mean_rel_error,lpips,lacunarity_error
20180610_hrrrt19_ordinary_kriging,20.0,0.98,29.811384,23.66097,0.22386369,0.159237653017044,0.120189378865269
20180610_hrrrt19_pk,20.0,0.98,8.620883,6.1667204,0.053322695,0.0125518981367349,0.0377256490710211
20180610_hrrrt19_npk,30.0,0.98,6.399856,4.7782426,0.025205135,0.0099456366151571,0.0279340851183863
20180610_hrrrt19_idw,30.0,0.98,20.047764,15.605997,0.09089399,0.1203868985176086,0.0825184132449018
20180610_hrrrt19_ordinary_kriging,30.0,0.98,26.97696,21.63424,0.12057095,0.1244183853268623,0.0992674640939747
20180610_hrrrt19_pk,30.0,0.98,6.343276,4.7143908,0.025652448,0.0115091688930988,0.0289482717353487
20180610_hrrrt19_npk,5.0,0.98,69.16817,58.06064,0.3104455,0.2508638799190521,0.3109942752441664
20180610_hrrrt19_idw,5.0,0.98,30.02315,22.353546,0.21205568,0.3788480758666992,0.1228546247599674
20180610_hrrrt19_ordinary_kriging,5.0,0.98,32.510998,25.223022,0.22749378,0.2133474797010421,0.1274647250293303
20180610_hrrrt19_pk,5.0,0.98,64.63118,50.498512,0.28005663,0.2053781300783157,0.3032373387853369
20180612_hrrrt17_npk,10.0,0.98,44.507664,38.612152,0.2931944,0.1340073645114898,0.1771621283743494
20180612_hrrrt17_idw,10.0,0.98,27.224592,18.408192,0.22747947,0.325189471244812,0.1879521954673413
20180612_hrrrt17_ordinary_kriging,10.0,0.98,32.313686,22.61866,0.2668095,0.1890383809804916,0.196326527144314
20180612_hrrrt17_pk,10.0,0.98,35.25749,30.485722,0.23086312,0.1047986149787902,0.1365135201996606
20180612_hrrrt17_npk,1.0,0.98,84.94874,77.839005,0.5464356,0.3539971709251404,0.1580582163016509
20180612_hrrrt17_idw,1.0,0.98,30.914549,21.350346,0.21946992,0.6400460004806519,0.1811165495518306
20180612_hrrrt17_ordinary_kriging,1.0,0.98,36.14079,27.927269,0.27255198,0.4938127994537353,0.2086828300941996
20180612_hrrrt17_pk,1.0,0.98,70.252686,62.898262,0.46320102,0.3934871852397918,0.2656594612640758
20180612_hrrrt17_npk,20.0,0.98,19.215822,14.370155,0.13122238,0.0754234120249748,0.1287850898800488
20180612_hrrrt17_idw,20.0,0.98,29.581285,20.363441,0.25663984,0.2380628287792205,0.1920773942194061
20180612_hrrrt17_ordinary_kriging,20.0,0.98,37.353603,27.975283,0.31798792,0.2504221498966217,0.2038849777683086
20180612_hrrrt17_pk,20.0,0.98,16.572874,12.167362,0.11698815,0.0703041031956672,0.1245090957170518
20180612_hrrrt17_npk,30.0,0.98,13.041974,9.964087,0.07517449,0.0592401698231697,0.064086548567139
20180612_hrrrt17_idw,30.0,0.98,20.177015,13.768828,0.13098243,0.1934432834386825,0.1324355119719947
20180612_hrrrt17_ordinary_kriging,30.0,0.98,25.339212,17.49477,0.16452233,0.1611601710319519,0.1454983381389639
20180612_hrrrt17_pk,30.0,0.98,16.523668,11.707783,0.09114478,0.056730180978775,0.0847308717863309
20180612_hrrrt17_npk,5.0,0.98,47.704536,42.110996,0.30554575,0.1603509783744812,0.1402051603674727
20180612_hrrrt17_idw,5.0,0.98,26.221706,18.017216,0.21845369,0.3884978890419006,0.1856638350855728
20180612_hrrrt17_ordinary_kriging,5.0,0.98,29.593018,21.474821,0.24834599,0.1460881233215332,0.1905635655440914
20180612_hrrrt17_pk,5.0,0.98,49.998123,42.355965,0.32262197,0.1614723950624466,0.2505492338291096
20180614_hrrrt17_npk,10.0,0.98,72.66084,57.22376,0.27816728,0.2499737292528152,0.2788917259595013
20180614_hrrrt17_idw,10.0,0.98,21.296467,16.28153,0.15005805,0.2795067429542541,0.0880346226283806
20180614_hrrrt17_ordinary_kriging,10.0,0.98,24.302814,19.23054,0.16385414,0.1479825973510742,0.0912656013120686
20180614_hrrrt17_pk,10.0,0.98,68.37484,52.287834,0.2597488,0.2093709409236908,0.2727949529124173
20180614_hrrrt17_npk,1.0,0.98,127.848366,118.92677,0.59196335,0.5369558930397034,0.3879447592026331
20180614_hrrrt17_idw,1.0,0.98,24.419489,18.938116,0.15846565,0.5664582252502441,0.0902820848213643
20180614_hrrrt17_ordinary_kriging,1.0,0.98,26.87968,21.466469,0.1678182,0.4879341423511505,0.0863251034191363
20180614_hrrrt17_pk,1.0,0.98,107.648026,95.37088,0.47321758,0.546122670173645,0.3614290946696657
20180614_hrrrt17_npk,20.0,0.98,11.889316,9.256332,0.06285473,0.0172849372029304,0.0451428523335954
20180614_hrrrt17_idw,20.0,0.98,21.340076,15.415929,0.15544344,0.1484200805425644,0.0790796189563801
20180614_hrrrt17_ordinary_kriging,20.0,0.98,24.599602,19.397314,0.17282794,0.1372101604938507,0.0888083840896878
20180614_hrrrt17_pk,20.0,0.98,9.302877,7.091552,0.055094376,0.0117147993296384,0.0368755701179399
20180614_hrrrt17_npk,30.0,0.98,6.9264665,5.3859835,0.02699668,0.0092690289020538,0.0304535352279788
20180614_hrrrt17_idw,30.0,0.98,19.3024,14.657949,0.08014054,0.1068079769611358,0.0719523387810322
20180614_hrrrt17_ordinary_kriging,30.0,0.98,25.496307,20.697,0.10847837,0.1336704045534134,0.0838059460819304
20180614_hrrrt17_pk,30.0,0.98,6.445866,4.8604994,0.02449169,0.0087389592081308,0.024332681350476
20180614_hrrrt17_npk,5.0,0.98,74.108604,63.91521,0.3331786,0.2666747868061065,0.2399060391308422
20180614_hrrrt17_idw,5.0,0.98,22.388699,17.239979,0.15318829,0.3496221005916595,0.0900813082527219
20180614_hrrrt17_ordinary_kriging,5.0,0.98,25.10476,19.837358,0.16649531,0.2123341709375381,0.0945923052238574
20180614_hrrrt17_pk,5.0,0.98,63.696354,51.678658,0.2564972,0.1661705374717712,0.2438442989452194
20180614_hrrrt19_npk,10.0,0.98,81.71962,64.51424,0.31276342,0.2914923727512359,0.2806166063496324
20180614_hrrrt19_idw,10.0,0.98,23.667177,19.126932,0.16228788,0.3432955145835876,0.0951886290726802
20180614_hrrrt19_ordinary_kriging,10.0,0.98,28.195013,23.091131,0.18170704,0.1657610833644867,0.101241228164588
20180614_hrrrt19_pk,10.0,0.98,66.29082,52.215878,0.2541478,0.1981738209724426,0.2178181161812705
20180614_hrrrt19_npk,1.0,0.98,126.78912,117.69132,0.5791153,0.5467449426651001,0.3300038366915974
20180614_hrrrt19_idw,1.0,0.98,27.983494,22.933432,0.17604013,0.618939220905304,0.1030447450922815
20180614_hrrrt19_ordinary_kriging,1.0,0.98,31.429039,25.843195,0.18692985,0.543500542640686,0.0870306150985197
20180614_hrrrt19_pk,1.0,0.98,104.11399,88.72878,0.44398472,0.5140515565872192,0.3380870499484932
20180614_hrrrt19_npk,20.0,0.98,10.496886,8.158377,0.0522509,0.0163483601063489,0.042511255531486
20180614_hrrrt19_idw,20.0,0.98,23.265821,17.07507,0.17230345,0.1653198599815368,0.0853732708202211
20180614_hrrrt19_ordinary_kriging,20.0,0.98,27.045227,21.36924,0.18932718,0.147702157497406,0.096706130989784
20180614_hrrrt19_pk,20.0,0.98,8.99084,7.0735626,0.0522518,0.0125566478818655,0.0203227470137389
